gpu_milli,count,ratio
50,8,0.005037783375314861
110,42,0.02644836272040302
140,1,0.0006297229219143577
160,110,0.06926952141057935
220,125,0.0787153652392947
230,67,0.04219143576826197
320,441,0.2777078085642317
330,13,0.00818639798488665
370,3,0.001889168765743073
440,3,0.001889168765743073
460,169,0.10642317380352645
470,317,0.1996221662468514
480,17,0.010705289672544081
650,221,0.13916876574307305
810,51,0.03211586901763224
