-------------10----------------------
scheduler_name,frag_sum
AlloxScheduler,1007.9848866498739
ChronusScheduler,1007.9848866498739
FragScheduler,1007.9848866498739
GavelScheduler,1007.9848866498739
KMeansScheduler,1007.9848866498739
-------------20----------------------
scheduler_name,frag_sum
AlloxScheduler,1647.6133501259446
ChronusScheduler,1647.6133501259446
FragScheduler,1647.6133501259444
GavelScheduler,1647.6133501259446
KMeansScheduler,1647.6133501259446
-------------30----------------------
scheduler_name,frag_sum
AlloxScheduler,2488.8287153652386
ChronusScheduler,2488.8287153652386
FragScheduler,2488.8287153652395
GavelScheduler,2488.828715365239
KMeansScheduler,2488.828715365239
-------------40----------------------
scheduler_name,frag_sum
AlloxScheduler,3343.406801007557
ChronusScheduler,3343.406801007557
FragScheduler,3343.406801007557
GavelScheduler,3343.406801007557
KMeansScheduler,3343.4068010075566
-------------50----------------------
scheduler_name,frag_sum
AlloxScheduler,4108.293450881612
ChronusScheduler,4108.293450881612
FragScheduler,4108.293450881613
GavelScheduler,4108.293450881612
KMeansScheduler,4108.293450881612
-------------60----------------------
scheduler_name,frag_sum
AlloxScheduler,4762.58816120907
ChronusScheduler,4762.58816120907
FragScheduler,4762.58816120907
GavelScheduler,4762.58816120907
KMeansScheduler,4762.58816120907
-------------70----------------------
scheduler_name,frag_sum
AlloxScheduler,5565.6863979848895
ChronusScheduler,5565.6863979848895
FragScheduler,5565.686397984889
GavelScheduler,5565.6863979848895
KMeansScheduler,5565.6863979848895
-------------80----------------------
scheduler_name,frag_sum
AlloxScheduler,6377.44962216625
ChronusScheduler,6377.44962216625
FragScheduler,6377.4496221662475
GavelScheduler,6377.449622166251
KMeansScheduler,6377.44962216625
-------------90----------------------
scheduler_name,frag_sum
AlloxScheduler,6991.719143576829
ChronusScheduler,6991.719143576829
FragScheduler,6991.719143576828
GavelScheduler,6991.71914357683
KMeansScheduler,6991.719143576829
-------------100----------------------
scheduler_name,frag_sum
AlloxScheduler,7664.112090680104
ChronusScheduler,7664.112090680104
GavelScheduler,7664.112090680104
KMeansScheduler,7664.112090680104
-------------110----------------------
scheduler_name,frag_sum
AlloxScheduler,8544.704030226703
ChronusScheduler,8544.704030226703
FragScheduler,8544.704030226705
GavelScheduler,8544.704030226701
KMeansScheduler,8544.704030226703
-------------120----------------------
scheduler_name,frag_sum
AlloxScheduler,9430.333753148618
ChronusScheduler,9430.333753148618
FragScheduler,9430.333753148623
GavelScheduler,9430.333753148616
KMeansScheduler,9430.333753148618
-------------130----------------------
scheduler_name,frag_sum
AlloxScheduler,10204.955919395468
ChronusScheduler,10204.95591939547
FragScheduler,10204.955919395477
GavelScheduler,10204.955919395472
KMeansScheduler,10204.95591939547
-------------140----------------------
scheduler_name,frag_sum
AlloxScheduler,11096.586901763234
ChronusScheduler,11096.586901763234
FragScheduler,11096.58690176323
GavelScheduler,11096.586901763236
KMeansScheduler,11096.586901763234
-------------150----------------------
scheduler_name,frag_sum
AlloxScheduler,11870.988664987419
ChronusScheduler,11870.988664987417
FragScheduler,11870.988664987417
GavelScheduler,11870.988664987419
KMeansScheduler,11870.988664987419
