scheduler_name,case_range,average_jct_seconds,average_queue_delay_seconds,average_ddl_violation_duration_seconds,total_ddl_violation_duration_seconds
ChronusScheduler,"[0, 10]",6901.2,0,0,0
ChronusScheduler,"[0, 20]",8961.3,0,2314.000000000001,2314.000000000001
ChronusScheduler,"[0, 30]",11199.133333333333,0,770.0000000000146,770.0000000000146
ChronusScheduler,"[0, 40]",16639.775,0,0,0
ChronusScheduler,"[0, 50]",14092.14,486.62,2314.000000000002,2314.000000000002
ChronusScheduler,"[0, 60]",17924.08333333333,986.25,6776.000000000011,6776.000000000011
ChronusScheduler,"[0, 70]",17516.757142857143,1596.942857142857,1542.000000000011,3084.000000000022
ChronusScheduler,"[0, 80]",177698.88750000013,2132.7625,770.0000000000291,770.0000000000291
ChronusScheduler,"[0, 90]",295807.37777777785,2836.3333333333335,2340.000000000001,2340.000000000001
ChronusScheduler,"[0, 100]",341010.9200000001,3192.7,15990.000000000011,15990.000000000011
ChronusScheduler,"[0, 110]",315223.0999999999,4169.745454545455,32061.999999999884,32061.999999999884
ChronusScheduler,"[0, 120]",229272.65,5166.816666666667,1845.6666666666697,5537.000000000009
ChronusScheduler,"[0, 130]",119367.43846153852,5755.838461538461,18863.999999999916,94319.99999999958
ChronusScheduler,"[0, 140]",205776.27142857143,6661.2642857142855,16679.999999999996,33359.99999999999
ChronusScheduler,"[0, 150]",113484.96,7385.846666666666,10226.500000000031,40906.000000000124
ChronusScheduler,"[0, 160]",107530.90625000004,8117.2625,24356.499999999876,97425.9999999995
ChronusScheduler,"[0, 170]",103039.87647058823,8894.423529411764,7921.666666666671,47530.00000000002
ChronusScheduler,"[0, 180]",100417.44444444448,9891.638888888889,11023.999999999985,44095.99999999994
ChronusScheduler,"[0, 190]",163942.3578947369,10997.98947368421,8663.166666666662,51978.99999999997
ChronusScheduler,"[0, 200]",196648.10000000006,11980.455,7503.3333333333285,45019.99999999997
ChronusScheduler,"[0, 210]",188859.85238095233,12882.485714285714,6971.571428571432,48801.00000000002
ChronusScheduler,"[0, 220]",219854.67727272733,13451.690909090908,22122.28571428577,154856.00000000038
ChronusScheduler,"[0, 230]",138206.52608695655,14477.08695652174,24660.857142857225,172626.00000000058
ChronusScheduler,"[0, 240]",198119.30000000013,15570.654166666667,15815.555555555633,142340.0000000007
ChronusScheduler,"[0, 250]",154374.34400000007,16636.536,13144.615384615432,170880.0000000006
ChronusScheduler,"[0, 260]",235240.65769230787,16814.73846153846,21073.07692307697,273950.0000000006
ChronusScheduler,"[0, 270]",156829.45555555556,18771.885185185187,18525.250000000004,296404.00000000006
ChronusScheduler,"[0, 280]",152687.82857142852,19924.925,14351.642857142824,200922.99999999953
ChronusScheduler,"[0, 290]",227684.0965517242,20702.21379310345,14723.133333333271,220846.99999999907
ChronusScheduler,"[0, 300]",171580.10999999996,22061.933333333334,12754.187499999982,204066.9999999997
