scheduler_name,case_range,average_jct_seconds,average_queue_delay_seconds,average_ddl_violation_duration_seconds,total_ddl_violation_duration_seconds
ChronusScheduler,"[0, 20]",9655.4,0,770.0000000000073,770.0000000000073
ChronusScheduler,"[0, 30]",10981.000000000002,0,0,0
ChronusScheduler,"[0, 40]",16733.25,0,0,0
ChronusScheduler,"[0, 50]",14219.92,463.54,770.0000000000182,770.0000000000182
ChronusScheduler,"[0, 60]",17300.033333333333,995.85,9237.000000000004,18474.000000000007
ChronusScheduler,"[0, 70]",19087.65714285714,1567.3,0,0
ChronusScheduler,"[0, 80]",176704.7250000002,2193.6,6776.000000000015,6776.000000000015
ChronusScheduler,"[0, 90]",296639.63333333336,2793.766666666667,32061.999999999884,32061.999999999884
ChronusScheduler,"[0, 100]",143191.6200000001,3151.47,19418.999999999953,38837.999999999905
ChronusScheduler,"[0, 110]",314455.2727272727,4098.636363636364,22881.74999999992,91526.99999999968
ChronusScheduler,"[0, 120]",291242.9166666667,4968.808333333333,19503.999999999985,58511.999999999956
ChronusScheduler,"[0, 130]",269880.3769230769,5464.461538461538,29467.750000000135,117871.00000000054
ChronusScheduler,"[0, 140]",258708.19285714286,6444.657142857143,26524.249999999935,106096.99999999974
ChronusScheduler,"[0, 150]",245224.07999999996,7429.253333333333,13378.666666666613,40135.99999999984
ChronusScheduler,"[0, 160]",106746.02500000002,8277.5625,13378.666666666652,40135.999999999956
ChronusScheduler,"[0, 170]",104111.53529411771,8720.052941176471,10226.50000000004,40906.00000000016
ChronusScheduler,"[0, 180]",210655.70555555559,9791.494444444445,13274.599999999988,66372.99999999994
ChronusScheduler,"[0, 190]",163825.31052631582,11031.626315789474,10780.000000000004,43120.000000000015
ChronusScheduler,"[0, 200]",157728.39499999996,11578.935,21678.399999999885,108391.99999999942
ChronusScheduler,"[0, 210]",95685.67142857144,12559.704761904763,30342.50000000009,182055.00000000055
ChronusScheduler,"[0, 220]",300473.21818181826,13771.363636363636,21359.777777777825,192238.0000000004
ChronusScheduler,"[0, 230]",160083.2173913044,14750.126086956521,8092.714285714277,56648.99999999994
ChronusScheduler,"[0, 240]",185164.06250000006,15119.804166666667,17378.33333333338,156405.0000000004
ChronusScheduler,"[0, 250]",232993.72400000005,16731.544,13720.923076923118,178372.00000000052
ChronusScheduler,"[0, 260]",177430.8576923077,16996.06923076923,19469.769230769205,253106.99999999965
