scheduler_name,case_range,average_jct_seconds,average_queue_delay_seconds,average_ddl_violation_duration_seconds,total_ddl_violation_duration_seconds
AlloxScheduler,"[0, 100]",140840.6400000001,3072.89,2952.333333333337,17714.000000000022
AlloxScheduler,"[0, 150]",105909.60666666673,5818.28,6106.600000000013,30533.000000000065
AlloxScheduler,"[0, 200]",89634.75000000004,9179.6,11937.266666666674,179059.00000000012
ChronusScheduler,"[0, 100]",267276.14,2755.89,2340,2340
ChronusScheduler,"[0, 150]",244241.21999999994,6339.973333333333,13378.666666666673,40136.00000000002
ChronusScheduler,"[0, 200]",195468.67,10254.75,8289.5,49737
FragScheduler,"[0, 100]",138713.85,3959.89,3114.5,6229
FragScheduler,"[0, 150]",101456.88666666667,5121.166666666667,2953,11812
FragScheduler,"[0, 200]",82052.76,5698.245,3683,29464
GavelScheduler,"[0, 100]",346234.8400000001,2604.66,32990.33333333333,197941.99999999997
GavelScheduler,"[0, 150]",196815.06666666674,5561.28,24378.818181818187,268167.00000000006
GavelScheduler,"[0, 200]",95750.40000000002,8673.995,20533.16666666668,369597.00000000023
KMeansScheduler,"[0, 100]",141762.39,3856.6599999999994,0,0
KMeansScheduler,"[0, 150]",107131.63333333339,6772.733333333334,0,0
KMeansScheduler,"[0, 200]",91243.525,10284.605,2895.999999999978,2895.999999999978
