scheduler_name,case_range,average_jct_seconds,average_queue_delay_seconds,average_ddl_violation_duration_seconds,total_ddl_violation_duration_seconds
ChronusScheduler,"[0, 20]",8899.3,0,0,0
ChronusScheduler,"[0, 30]",10981.000000000002,0,0,0
ChronusScheduler,"[0, 40]",16920.45,0,1542.0000000000045,3084.000000000009
ChronusScheduler,"[0, 50]",14105.56,481.3,0,0
ChronusScheduler,"[0, 60]",18281.45,1009.65,2340.000000000001,2340.000000000001
ChronusScheduler,"[0, 70]",19053.257142857143,1569.5285714285715,0,0
ChronusScheduler,"[0, 80]",330805.31250000006,2226.4,0,0
ChronusScheduler,"[0, 90]",159152.90000000008,2733.7555555555555,32061.999999999884,32061.999999999884
ChronusScheduler,"[0, 100]",268350.4,3123.96,59001.66666666671,177005.00000000012
ChronusScheduler,"[0, 110]",315377.7,4364.390909090909,3810.000000000006,11430.000000000018
ChronusScheduler,"[0, 120]",228891.5916666667,5188.308333333333,1156.3333333333483,3469.0000000000446
ChronusScheduler,"[0, 130]",213134.18461538467,5940.538461538462,607,607
ChronusScheduler,"[0, 140]",206289.17857142858,6600.128571428571,19115.999999999985,57347.999999999956
ChronusScheduler,"[0, 150]",112743.7866666667,7520.513333333333,8227.599999999973,41137.99999999987
ChronusScheduler,"[0, 160]",108534.11875000002,8032.1,20985.83333333346,125915.00000000076
ChronusScheduler,"[0, 170]",103833.67647058825,8796.482352941177,20527.50000000009,123165.00000000055
ChronusScheduler,"[0, 180]",100321.15000000004,9998.288888888888,8739.400000000007,43697.00000000004
ChronusScheduler,"[0, 190]",162666.36842105258,11032.673684210526,10798.666666666652,64791.99999999991
ChronusScheduler,"[0, 200]",158555.1,12043.885,7168.7142857142735,50180.99999999991
ChronusScheduler,"[0, 210]",154244.90952380956,12628.933333333332,20439.142857142946,143074.0000000006
ChronusScheduler,"[0, 220]",165063.71818181832,13747.559090909092,18819.750000000033,150558.00000000026
ChronusScheduler,"[0, 230]",203926.3434782611,14424.34347826087,24222.499999999927,145334.99999999956
ChronusScheduler,"[0, 240]",156780.46666666673,15345.870833333332,8499.999999999995,84999.99999999994
ChronusScheduler,"[0, 250]",232954.85600000006,16556.608,13893.750000000073,166725.00000000087
ChronusScheduler,"[0, 260]",176057.4115384615,16706.176923076924,21969.07692307696,285598.00000000047
ChronusScheduler,"[0, 270]",193972.13333333342,18818.94074074074,17691.500000000004,283064.00000000006
ChronusScheduler,"[0, 280]",153856.03928571427,19846.957142857143,14739.99999999994,206359.99999999916
ChronusScheduler,"[0, 290]",218295.62758620686,20785.09655172414,15079.785714285681,211116.99999999953
ChronusScheduler,"[0, 300]",155934.71,21591.31333333333,50995.7333333327,764935.9999999905
ChronusScheduler,"[0, 310]",167397.14193548379,22801.412903225806,13262.333333333312,198934.99999999968
ChronusScheduler,"[0, 320]",203421.11249999993,23890.359374999996,12760.466666666638,191406.99999999956
ChronusScheduler,"[0, 330]",162813.2272727272,24863.336363636365,13263.799999999961,198956.99999999942
ChronusScheduler,"[0, 340]",139474.61470588233,26544.19705882353,11920.187499999978,190722.99999999965
ChronusScheduler,"[0, 350]",159994.52285714276,28711.145714285714,11533.823529411737,196074.99999999953
ChronusScheduler,"[0, 360]",146363.05833333332,30533.575,45842.66666666545,687639.9999999817
ChronusScheduler,"[0, 370]",164957.4378378378,31510.943243243244,48403.84615384508,629249.999999986
ChronusScheduler,"[0, 380]",162708.48157894734,33063.076315789476,52593.583333332244,631122.999999987
ChronusScheduler,"[0, 390]",160937.63846153844,33333.415384615386,44634.87499999903,714157.9999999845
ChronusScheduler,"[0, 400]",183976.76999999996,34808.6275,7493.249999999945,119891.99999999913
FragScheduler,"[0, 20]",5907.8,0,0,0
FragScheduler,"[0, 30]",6118.8,446.76666666666665,0,0
FragScheduler,"[0, 40]",9565.5,651.925,0,0
FragScheduler,"[0, 50]",10004.5,1308.72,0,0
FragScheduler,"[0, 60]",12723.95,1702.2,0,0
FragScheduler,"[0, 70]",12638.171428571428,1476.8,0,0
FragScheduler,"[0, 80]",169335.225,1519.3,0,0
FragScheduler,"[0, 90]",152039.42222222223,2179.5777777777776,0,0
FragScheduler,"[0, 100]",138414.34,2020.55,0,0
FragScheduler,"[0, 110]",127585.28181818181,2208.3727272727274,0,0
FragScheduler,"[0, 120]",118076.35833333334,2282.0833333333335,0,0
FragScheduler,"[0, 130]",110154.4923076923,2164.876923076923,0,0
FragScheduler,"[0, 140]",105979,2439.0642857142857,0,0
FragScheduler,"[0, 150]",101111.27333333333,2685.5266666666666,0,0
FragScheduler,"[0, 160]",96878.56875,2270.4375,0,0
FragScheduler,"[0, 170]",207534.32941176472,2265.176470588235,0,0
FragScheduler,"[0, 180]",88062.6888888889,2899.25,0,0
FragScheduler,"[0, 190]",85231.55263157895,3311.1736842105265,0,0
FragScheduler,"[0, 200]",83914.68,3127.13,0,0
FragScheduler,"[0, 210]",174048.58095238096,4228.771428571428,0,0
FragScheduler,"[0, 220]",213865.54090909092,4454.563636363637,0,0
FragScheduler,"[0, 230]",188998.53913043477,4597.017391304348,0,0
FragScheduler,"[0, 240]",182298.5625,4936.683333333333,0,0
FragScheduler,"[0, 250]",177045.4,4857.14,0,0
FragScheduler,"[0, 260]",171207.34615384616,4987.738461538462,0,0
FragScheduler,"[0, 270]",195168.85555555555,5168.540740740741,0,0
FragScheduler,"[0, 280]",117945.96071428571,5882.8607142857145,0,0
