scheduler_name,case_range,average_jct_seconds,average_queue_delay_seconds,average_ddl_violation_duration_seconds,total_ddl_violation_duration_seconds
ChronusScheduler,"[0, 10]",5851,0,0,0
ChronusScheduler,"[0, 20]",8899.3,0,0,0
ChronusScheduler,"[0, 30]",11384.533333333333,0,0,0
ChronusScheduler,"[0, 40]",16675.125,0,0,0
ChronusScheduler,"[0, 50]",14941.900000000001,404.64,19418.999999999993,38837.999999999985
ChronusScheduler,"[0, 60]",17892.149999999998,1015.2833333333333,0,0
ChronusScheduler,"[0, 70]",18705.77142857143,1585.7285714285715,0,0
ChronusScheduler,"[0, 80]",177570.6750000001,2191.025,0,0
ChronusScheduler,"[0, 90]",295047.6222222222,2852.9777777777776,606.9999999999995,606.9999999999995
ChronusScheduler,"[0, 100]",143296.5400000001,3162.81,19418.999999999953,38837.999999999905
ChronusScheduler,"[0, 110]",314523.31818181823,4223.645454545454,1287.0000000000132,3861.0000000000396
ChronusScheduler,"[0, 120]",291187.3916666667,4921.083333333333,13378.666666666648,40135.99999999994
ChronusScheduler,"[0, 130]",270136.5999999999,5618.292307692308,9139.249999999956,36556.999999999825
ChronusScheduler,"[0, 140]",205577.15714285715,6575.85,16679.99999999999,33359.99999999998
ChronusScheduler,"[0, 150]",246000.66666666663,7359.24,30540.750000000084,122163.00000000033
ChronusScheduler,"[0, 160]",109499.84375000012,8862.74375,6360.333333333346,19081.000000000036
ChronusScheduler,"[0, 170]",175285.62352941177,8929.864705882354,7884.800000000001,39424.00000000001
ChronusScheduler,"[0, 180]",100975.30555555558,9984.211111111112,8779.249999999964,35116.999999999854
ChronusScheduler,"[0, 190]",162954.14736842105,11029.568421052632,25029.40000000012,125147.00000000061
ChronusScheduler,"[0, 200]",195564.06,11986.99,9380.571428571395,65663.99999999977
ChronusScheduler,"[0, 210]",188330.36666666667,12888.728571428572,8335.85714285714,58350.99999999998
ChronusScheduler,"[0, 220]",163906.33181818193,13530.49090909091,18711.875000000095,149695.00000000076
ChronusScheduler,"[0, 230]",158580.77391304355,14622.88695652174,10624.374999999949,84994.99999999959
ChronusScheduler,"[0, 240]",156181.8625000001,15416.420833333334,18194.285714285605,127359.99999999923
ChronusScheduler,"[0, 250]",212167.848,16412.716,27078.44444444444,243705.99999999997
ChronusScheduler,"[0, 260]",177065.65384615384,16756.28846153846,21580.384615384628,280545.0000000002
ChronusScheduler,"[0, 270]",230254.07037037032,19036.225925925926,19657.928571428587,275211.00000000023
ChronusScheduler,"[0, 280]",179814.04285714275,19939.385714285716,14503.428571428518,203047.99999999924
ChronusScheduler,"[0, 290]",192042.3965517241,20743.23103448276,14820.785714285668,207490.99999999936
ChronusScheduler,"[0, 300]",212201.18,21977.676666666666,16464.833333333325,197577.99999999988
ChronusScheduler,"[0, 310]",184016.88387096766,22208.490322580645,13264.06666666666,198960.9999999999
ChronusScheduler,"[0, 320]",212340.403125,23763.3125,11673.17647058821,198443.9999999996
ChronusScheduler,"[0, 330]",200124.24848484845,25080.848484848484,14029.615384615337,182384.9999999994
ChronusScheduler,"[0, 340]",205107.72647058827,26438.082352941175,12822.562499999969,205160.9999999995
ChronusScheduler,"[0, 350]",131270.62285714285,27947.731428571427,47959.18749999951,767346.9999999922
ChronusScheduler,"[0, 360]",166418.65833333327,30683.883333333335,42662.31249999881,682596.9999999809
ChronusScheduler,"[0, 370]",205140.87297297313,32524.072972972972,211770.28571428978,2964784.000000057
ChronusScheduler,"[0, 380]",176738.42894736843,33795.54210526316,45071.714285713424,631003.9999999879
ChronusScheduler,"[0, 390]",174558.71025641027,33885.48205128205,44984.99999999926,629789.9999999896
ChronusScheduler,"[0, 400]",183427.28750000015,35298.635,159865.94736842444,3037453.0000000643
FragScheduler,"[0, 10]",6778.9,927.9,213,213
FragScheduler,"[0, 20]",7990.5,2082.7,0,0
FragScheduler,"[0, 30]",8870.8,3246.9333333333334,0,0
FragScheduler,"[0, 40]",13370.075,4676.575,899,899
FragScheduler,"[0, 50]",13952.96,5443.3,1051,2102
FragScheduler,"[0, 60]",18746.333333333332,7701.133333333333,4274.666666666667,12824
FragScheduler,"[0, 70]",19943.457142857143,8806.857142857143,2122,6366
FragScheduler,"[0, 80]",176718.2375,9233.775,3815.6,19078
FragScheduler,"[0, 90]",157545.0888888889,7755.477777777778,4848.4,24242
FragScheduler,"[0, 100]",145580.85,9185.61,4421.5,26529
FragScheduler,"[0, 110]",134944.26363636364,9656.8,5044.75,20179
FragScheduler,"[0, 120]",125196.65833333334,9837.583333333334,7496.5,59972
FragScheduler,"[0, 130]",117543.91538461538,9955.446153846155,7949.1,79491
