filename,frag_size,frag_size_runtime,frag_size_jct

allox_[0-10],4880.0,32668490.0,32668490.0
chronus_[0-10],4880.0,46548300.0,46548300.0
gavel_[0-10],4880.0,46548300.0,46548300.0
hydrababwithheuristic_1_[0-10],4880.0,29869110.0,33772930.0

allox_[0-20],11920.0,90425490.0,103399250.0
chronus_[0-20],11920.0,118519400.0,131783990.0
gavel_[0-20],11920.0,119226530.0,129787790.0
hydrababwithheuristic_1_[0-20],11920.0,90379200.0,111159550.0


