filename,job_name,selected_gpu_id,selected_gpu_type,runtime_on_gpu,job_jct,gpu_milli,A100,GTX2080Ti,V100,ddl,frag_size,frag_size_runtime,frag_size_jct
allox_[0-100],openb-pod-1118,0,A100,1122.0,1122.0,470,1122.0,2233,2934,inf,530.0,594660.0,594660.0
allox_[0-100],openb-pod-2132,3,A100,1301.0,1301.0,160,1301.0,2208,3294,3902.0,840.0,1092840.0,1092840.0
allox_[0-100],openb-pod-2030,5,A100,1327.0,1327.0,650,1327.0,2181,3390,inf,350.0,464450.0,464450.0
allox_[0-100],openb-pod-3342,6,A100,1411.0,1411.0,160,1411.0,2415,3603,inf,840.0,1185240.0,1185240.0
allox_[0-100],openb-pod-1976,7,A100,1414.0,1414.0,650,1414.0,2303,3613,inf,350.0,494900.0,494900.0
allox_[0-100],openb-pod-1589,8,A100,1528.0,1528.0,460,1528.0,2792,3736,inf,540.0,825120.0,825120.0
allox_[0-100],openb-pod-2006,10,GTX2080Ti,1664.0,1664.0,650,1138.0,1664,2767,inf,350.0,582400.0,582400.0
allox_[0-100],openb-pod-1652,9,A100,1709.9999999999998,1709.9999999999998,470,1710.0,3391,4237,inf,530.0,906299.9999999999,906299.9999999999
allox_[0-100],openb-pod-1478,11,GTX2080Ti,1733.0,1733.0,480,1177.0,1733,3023,inf,520.0,901160.0,901160.0
allox_[0-100],openb-pod-1968,1,A100,1741.0,1741.0,460,1741.0,3215,4277,inf,540.0,940140.0,940140.0
allox_[0-100],openb-pod-3101,15,GTX2080Ti,1794.0,1794.0,460,1080.0,1794,2725,inf,540.0,968760.0,968760.0
allox_[0-100],openb-pod-3120,12,GTX2080Ti,1811.0,1811.0,650,1245.0,1811,3277,inf,350.0,633850.0,633850.0
allox_[0-100],openb-pod-2374,4,A100,1829.0,1829.0,320,1829.0,3594,4440,inf,680.0,1243720.0,1243720.0
allox_[0-100],openb-pod-2954,13,GTX2080Ti,1863.0,1863.0,650,1281.0,1863,3165,inf,350.0,652050.0,652050.0
