Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 21)",4951.952380952381,0,325,325,1
Chronus,"(0, 21)",7355.952380952381,0,4321.999999999996,4321.999999999996,1
Fgt,"(0, 21)",4393.952380952381,0,0,0,0
Gavel,"(0, 21)",7355.952380952381,0,4321.999999999996,4321.999999999996,1
HydraPureHeuristic,"(0, 21)",5044.238095238095,316.6666666666667,0,0,0
Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 43)",6276.697674418605,391.16279069767444,1187,1187,1
Chronus,"(0, 43)",10620.488372093021,0,0,0,0
Fgt,"(0, 43)",5886.232558139535,718.953488372093,0,0,0
Gavel,"(0, 43)",12073.790697674414,0,6305.333333333314,18915.99999999994,3
HydraPureHeuristic,"(0, 43)",6580.139534883721,941.8837209302326,0,0,0
Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 66)",10397.272727272728,878.0454545454544,1087.9999999999964,1087.9999999999964,1
Chronus,"(0, 66)",14526.984848484848,658.9242424242424,7174.9999999999345,7174.9999999999345,1
Fgt,"(0, 66)",9665.30303030303,1857.409090909091,0,0,0
Gavel,"(0, 66)",13176.575757575758,565.8181818181819,2917.9999999999877,8753.999999999964,3
HydraPureHeuristic,"(0, 66)",11511.242424242424,1774.439393939394,0,0,0
Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 88)",153946.38636363644,1749.3068181818182,791.2500000000006,3165.0000000000023,4
Chronus,"(0, 88)",283871.81818181806,1497.6818181818182,2708.333333333306,8124.999999999918,3
Fgt,"(0, 88)",152616.72727272726,2495.4886363636365,598.3333333333334,1795,3
Gavel,"(0, 88)",359699.30681818153,1359.7386363636363,1437.9999999999998,5751.999999999999,4
HydraPureHeuristic,"(0, 88)",154271.22727272735,2037.9318181818182,0,0,0
Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 114)",122602.35964912294,2961.9912280701756,1588.8333333333333,9533,6
Chronus,"(0, 114)",281080.3947368418,2627.2105263157896,654.9999999999998,1309.9999999999995,2
Fgt,"(0, 114)",120891.29824561403,3515.3684210526317,931,4655,5
Gavel,"(0, 114)",125142.34210526328,2334.8070175438597,4697.9999999999945,46979.99999999994,10
HydraPureHeuristic,"(0, 114)",123319.40350877197,3611.7719298245615,0,0,0
Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 137)",105181.58394160587,3753.1532846715327,3257.9999999999986,29321.99999999999,9
Chronus,"(0, 137)",108179.04379562051,3633.6715328467153,3688.999999999987,11066.99999999996,3
Fgt,"(0, 137)",102325.60583941606,3487.7372262773724,1699.2857142857142,11895,7
Gavel,"(0, 137)",237262.51094890488,3461.182481751825,4415.111111111095,39735.999999999854,9
HydraPureHeuristic,"(0, 137)",106455.95620437959,4461.41605839416,0,0,0
Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 161)",112247.7515527951,4727.913043478261,3551.9999999999986,35519.999999999985,10
Chronus,"(0, 161)",214633.19254658377,4767.83850931677,5850.799999999983,29253.999999999913,5
Fgt,"(0, 161)",108981.16770186335,3884.944099378882,2008.2,10041,5
Gavel,"(0, 161)",258243.29192546566,4339.316770186336,9015.166666666659,108181.99999999991,12
HydraPureHeuristic,"(0, 161)",112932.5403726708,5099.298136645963,0,0,0
Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 184)",103126.38586956522,6044.195652173913,2932.7999999999997,43991.99999999999,15
Chronus,"(0, 184)",202168.5760869564,6282.614130434783,2130.999999999997,12785.999999999982,6
Fgt,"(0, 184)",99037.35326086957,4981.472826086957,2147.875,17183,8
Gavel,"(0, 184)",172512.22826086954,5477.364130434783,7491.7857142857165,104885.00000000003,14
HydraPureHeuristic,"(0, 184)",104132.69021739134,6747.592391304348,0,0,0
Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 205)",97216.97560975613,6990.131707317073,5385.0625,86161,16
Chronus,"(0, 205)",109395.30243902444,7628.30243902439,16436.33333333321,98617.99999999924,6
Fgt,"(0, 205)",92295.68780487805,5385.59512195122,3332,26656,8
Gavel,"(0, 205)",153750.33658536582,6847.253658536585,6488.647058823525,110306.99999999993,17
HydraPureHeuristic,"(0, 205)",98202.84878048781,7415.609756097561,0,0,0
Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 229)",90686.06113537122,8467.502183406114,7963.368421052629,151303.99999999994,19
Chronus,"(0, 229)",101228.2576419214,9350.541484716157,14393.428571428498,100753.99999999949,7
