Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 21)",4951.952380952381,0,325,325,1
Chronus,"(0, 21)",5869.142857142857,0,1187,1187,1
Fgt,"(0, 21)",4444.523809523809,50.57142857142857,0,0,0
Gavel,"(0, 21)",7355.952380952381,0,4321.999999999996,4321.999999999996,1
HydraPureHeuristic,"(0, 21)",5044.238095238095,316.6666666666667,0,0,0
Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 43)",6276.697674418605,391.16279069767444,1187,1187,1
Chronus,"(0, 43)",10634.162790697674,0,0,0,0
Fgt,"(0, 43)",5846.813953488372,637.8372093023256,0,0,0
Gavel,"(0, 43)",12073.790697674414,0,6305.333333333314,18915.99999999994,3
HydraPureHeuristic,"(0, 43)",6580.139534883721,941.8837209302326,0,0,0
Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 66)",10397.272727272728,878.0454545454544,1087.9999999999964,1087.9999999999964,1
Chronus,"(0, 66)",14207.469696969696,670.3939393939394,0,0,0
Fgt,"(0, 66)",9361.348484848484,1435.530303030303,0,0,0
Gavel,"(0, 66)",13176.575757575758,565.8181818181819,2917.9999999999877,8753.999999999964,3
HydraPureHeuristic,"(0, 66)",11511.242424242424,1774.439393939394,0,0,0
Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 88)",153946.38636363644,1749.3068181818182,791.2500000000006,3165.0000000000023,4
Chronus,"(0, 88)",360743.4659090905,1492.3636363636363,4320.999999999974,8641.999999999947,2
Fgt,"(0, 88)",152297.55681818182,2012.0454545454545,0,0,0
Gavel,"(0, 88)",359699.30681818153,1359.7386363636363,1437.9999999999998,5751.999999999999,4
HydraPureHeuristic,"(0, 88)",154271.22727272735,2037.9318181818182,0,0,0
Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 114)",122602.35964912294,2961.9912280701756,1588.8333333333333,9533,6
Chronus,"(0, 114)",221641.2105263157,2769.061403508772,1062.3333333333353,3187.000000000006,3
Fgt,"(0, 114)",120116.25438596492,2345.745614035088,0,0,0
Gavel,"(0, 114)",125142.34210526328,2334.8070175438597,4697.9999999999945,46979.99999999994,10
HydraPureHeuristic,"(0, 114)",123319.40350877197,3611.7719298245615,0,0,0
Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 137)",105181.58394160587,3753.1532846715327,3257.9999999999986,29321.99999999999,9
Chronus,"(0, 137)",237162.84671532825,3675.905109489051,3304.999999999984,9914.999999999953,3
Fgt,"(0, 137)",102524.48175182482,3378.014598540146,0,0,0
Gavel,"(0, 137)",237262.51094890488,3461.182481751825,4415.111111111095,39735.999999999854,9
HydraPureHeuristic,"(0, 137)",106455.95620437959,4461.41605839416,0,0,0
Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 161)",112247.7515527951,4727.913043478261,3551.9999999999986,35519.999999999985,10
Chronus,"(0, 161)",257150.88819875763,4881.124223602485,2959.4999999999864,11837.999999999945,4
Fgt,"(0, 161)",109368.80124223602,4233.869565217391,0,0,0
Gavel,"(0, 161)",258243.29192546566,4339.316770186336,9015.166666666659,108181.99999999991,12
HydraPureHeuristic,"(0, 161)",112932.5403726708,5099.298136645963,0,0,0
Scheduler,Case Range,Average JCT Seconds,Average Queue Delay Seconds,Average DDL Violation Duration Seconds,Total DDL Violation Duration Seconds,DDL Violated Jobs Count
Allox,"(0, 184)",103126.38586956522,6044.195652173913,2932.7999999999997,43991.99999999999,15
Chronus,"(0, 184)",106895.19565217395,6130.755434782609,4861.42857142863,34030.00000000041,7
Fgt,"(0, 184)",99168.59782608696,4705.532608695652,0,0,0
Gavel,"(0, 184)",172512.22826086954,5477.364130434783,7491.7857142857165,104885.00000000003,14
